['4025991', '2018-02-16 15:28:21', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '26.00', '-29.00', '868.100', '51.468000', '5.804300', '77.2', '', '1.4', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4025995', '2018-02-16 15:28:31', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '28.00', '-30.00', '868.100', '51.468000', '5.804300', '77.2', '', '1.4', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4025997', '2018-02-16 15:28:42', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '28.00', '-30.00', '868.100', '51.468000', '5.804300', '77.2', '', '1.4', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4025998', '2018-02-16 15:28:52', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '25.00', '-31.00', '868.100', '51.468000', '5.804200', '77.2', '', '1.4', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026003', '2018-02-16 15:29:03', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '26.00', '-30.00', '868.100', '51.468000', '5.804200', '77.2', '', '1.4', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026008', '2018-02-16 15:29:13', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '28.00', '-30.00', '868.100', '51.468000', '5.804200', '77.2', '', '1.4', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026015', '2018-02-16 15:29:24', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '32.00', '-30.00', '868.100', '51.468000', '5.804200', '77.2', '', '1.4', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026018', '2018-02-16 15:29:34', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '28.00', '-30.00', '868.100', '51.468000', '5.804200', '77.2', '', '1.4', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026022', '2018-02-16 15:29:46', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '27.00', '-30.00', '868.100', '51.468000', '5.804200', '77.2', '', '1.4', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026028', '2018-02-16 15:29:56', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '29.00', '-30.00', '868.100', '51.468000', '5.804200', '77.2', '', '1.4', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
