['2115204', '2017-08-02 16:22:19', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-76.00', '868.100', '53.102073', '-6.100798', '0.0', '19.75', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115218', '2017-08-02 16:25:38', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-76.00', '868.100', '53.102074', '-6.100771', '0.0', '19.79', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115288', '2017-08-02 16:34:28', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-78.00', '868.100', '53.102068', '-6.100784', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115295', '2017-08-02 16:35:35', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-77.00', '868.100', '53.102068', '-6.100784', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115310', '2017-08-02 16:36:41', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-77.00', '868.100', '53.102070', '-6.100786', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115339', '2017-08-02 16:37:46', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-77.00', '868.100', '53.102071', '-6.100786', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115345', '2017-08-02 16:38:53', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '10.00', '-77.00', '868.100', '53.102071', '-6.100787', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115351', '2017-08-02 16:39:59', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-77.00', '868.100', '53.102071', '-6.100787', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115358', '2017-08-02 16:41:05', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-76.00', '868.100', '53.102071', '-6.100787', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115364', '2017-08-02 16:42:12', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-76.00', '868.100', '53.102071', '-6.100788', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115371', '2017-08-02 16:43:18', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-77.00', '868.100', '53.102067', '-6.100787', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
