['2756060', '2017-09-28 14:22:12', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '9.00', '-45.00', '868.100', '53.102093', '-6.100801', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2756061', '2017-09-28 14:22:12', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '10.25', '-40.00', '868.100', '53.102093', '-6.100801', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2756148', '2017-09-28 14:24:25', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '9.00', '-44.00', '868.100', '53.102092', '-6.100800', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2756149', '2017-09-28 14:24:25', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '10.25', '-39.00', '868.100', '53.102092', '-6.100800', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2756231', '2017-09-28 14:26:37', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '10.25', '-41.00', '868.100', '53.102091', '-6.100800', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2756232', '2017-09-28 14:26:37', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '9.00', '-44.00', '868.100', '53.102091', '-6.100800', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2756322', '2017-09-28 14:28:49', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '9.00', '-45.00', '868.100', '53.102091', '-6.100799', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2756323', '2017-09-28 14:28:49', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '9.75', '-38.00', '868.100', '53.102091', '-6.100799', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2756399', '2017-09-28 14:31:01', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '8.50', '-40.00', '868.100', '53.102091', '-6.100799', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2756400', '2017-09-28 14:31:01', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '8.00', '-44.00', '868.100', '53.102091', '-6.100799', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2756484', '2017-09-28 14:33:14', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '10.75', '-39.00', '868.100', '53.102092', '-6.100799', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2756485', '2017-09-28 14:33:14', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '8.00', '-45.00', '868.100', '53.102092', '-6.100799', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2756567', '2017-09-28 14:35:26', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '8.00', '-44.00', '868.100', '53.102091', '-6.100798', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2756568', '2017-09-28 14:35:26', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '10.25', '-41.00', '868.100', '53.102091', '-6.100798', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2756661', '2017-09-28 14:37:38', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '8.00', '-45.00', '868.100', '53.102090', '-6.100797', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2756662', '2017-09-28 14:37:38', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '10.00', '-39.00', '868.100', '53.102090', '-6.100797', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2756758', '2017-09-28 14:39:51', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '9.00', '-45.00', '868.100', '53.102090', '-6.100797', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2756759', '2017-09-28 14:39:51', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '8.75', '-39.00', '868.100', '53.102090', '-6.100797', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2756845', '2017-09-28 14:42:03', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '8.25', '-39.00', '868.100', '53.102090', '-6.100797', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2756846', '2017-09-28 14:42:03', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '8.00', '-45.00', '868.100', '53.102090', '-6.100797', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2756926', '2017-09-28 14:44:15', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '10.00', '-40.00', '868.100', '53.102089', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2756927', '2017-09-28 14:44:15', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '9.00', '-45.00', '868.100', '53.102089', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757007', '2017-09-28 14:46:28', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '9.00', '-45.00', '868.100', '53.102089', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757008', '2017-09-28 14:46:28', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '9.50', '-39.00', '868.100', '53.102089', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757082', '2017-09-28 14:48:40', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '8.00', '-45.00', '868.100', '53.102088', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757083', '2017-09-28 14:48:40', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '9.75', '-40.00', '868.100', '53.102088', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757157', '2017-09-28 14:50:52', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '9.00', '-44.00', '868.100', '53.102089', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757158', '2017-09-28 14:50:52', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '8.25', '-39.00', '868.100', '53.102089', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757230', '2017-09-28 14:53:04', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '8.00', '-44.00', '868.100', '53.102089', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757231', '2017-09-28 14:53:04', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '9.25', '-41.00', '868.100', '53.102089', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
