['282676', '2016-05-31 15:02:01', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '-1.00', '-97.00', '868.100', '52.184808', '5.945453', '24.6', '3.20', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282677', '2016-05-31 15:02:11', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '2.00', '-95.00', '868.100', '52.184727', '5.944912', '18.6', '3.10', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282678', '2016-05-31 15:02:11', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '2.00', '-95.00', '868.100', '52.184727', '5.944912', '18.6', '3.10', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282679', '2016-05-31 15:02:20', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '8.00', '-88.00', '868.100', '52.184785', '5.944468', '16.3', '3.00', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282680', '2016-05-31 15:02:20', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '8.00', '-88.00', '868.100', '52.184785', '5.944468', '16.3', '3.00', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282687', '2016-05-31 15:03:08', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-75.00', '868.100', '52.184873', '5.943263', '11.3', '3.50', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282688', '2016-05-31 15:03:08', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-75.00', '868.100', '52.184873', '5.943263', '11.3', '3.50', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282689', '2016-05-31 15:03:17', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-69.00', '868.100', '52.184415', '5.943557', '10.9', '3.60', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282690', '2016-05-31 15:03:17', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-69.00', '868.100', '52.184415', '5.943557', '10.9', '3.60', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282691', '2016-05-31 15:03:27', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-50.00', '868.100', '52.184348', '5.943782', '11.9', '3.70', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282692', '2016-05-31 15:03:27', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-50.00', '868.100', '52.184348', '5.943782', '11.9', '3.70', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282724', '2016-05-31 18:06:52', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-43.00', '868.100', '52.184338', '5.943900', '32.7', '7.50', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282725', '2016-05-31 18:06:52', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-43.00', '868.100', '52.184338', '5.943900', '32.7', '7.50', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282726', '2016-05-31 18:07:02', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-20.00', '868.100', '52.184253', '5.943857', '-0.9', '5.60', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282727', '2016-05-31 18:07:02', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-20.00', '868.100', '52.184253', '5.943857', '-0.9', '5.60', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282728', '2016-05-31 18:07:11', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-27.00', '868.100', '52.184273', '5.943838', '13.8', '4.70', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
