['4235346', '2018-02-26 14:48:03', 'skylab_tracker_0001', 'skylab_main', '7276FF00390301F1', '', 'SF9BW125', '4.50', '-115.00', '868.300', '51.918300', '4.245100', '18.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4235347', '2018-02-26 14:48:03', 'skylab_tracker_0001', 'skylab_main', 'B827EBFFFEAA660C', '', 'SF9BW125', '-13.50', '-124.00', '868.300', '51.918300', '4.245100', '18.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4235505', '2018-02-26 15:03:01', 'skylab_tracker_0001', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '12.50', '-59.00', '868.300', '51.918400', '4.245100', '-3.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4235506', '2018-02-26 15:03:01', 'skylab_tracker_0001', 'skylab_main', 'B827EBFFFEAA660C', '', 'SF9BW125', '-10.80', '-124.00', '868.300', '51.918400', '4.245100', '-3.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4235623', '2018-02-26 15:18:01', 'skylab_tracker_0001', 'skylab_main', '0000024B080E0021', '', 'SF9BW125', '-1.00', '-115.00', '868.100', '51.918400', '4.245000', '-5.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4235624', '2018-02-26 15:18:01', 'skylab_tracker_0001', 'skylab_main', '7276FF00390301F1', '', 'SF9BW125', '-0.50', '-116.00', '868.100', '51.918400', '4.245000', '-5.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4235768', '2018-02-26 15:33:02', 'skylab_tracker_0001', 'skylab_main', 'B827EBFFFEAA660C', '', 'SF9BW125', '-12.20', '-124.00', '868.500', '51.918400', '4.245000', '9.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4235769', '2018-02-26 15:33:02', 'skylab_tracker_0001', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '8.50', '-56.00', '868.500', '51.918400', '4.245000', '9.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4235894', '2018-02-26 15:48:03', 'skylab_tracker_0001', 'skylab_main', '7276FF00390301F1', '', 'SF9BW125', '5.50', '-115.00', '868.500', '51.918300', '4.245000', '-8.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4235895', '2018-02-26 15:48:03', 'skylab_tracker_0001', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '8.80', '-58.00', '868.500', '51.918300', '4.245000', '-8.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
