4541610,2018-03-09 13:32:02,ttn-mapper,iot-partners,0000024B080E0021,,SF12BW125,-8.20,-118.00,868.100,51.918485,4.245181,45.4,10.00,,,fused,Android7.0 App30:2018.03.04
4541620,2018-03-09 13:32:12,ttn-mapper,iot-partners,7276FF00390301F1,,SF12BW125,-6.20,-122.00,868.100,51.918487,4.245182,45.5,10.00,,,fused,Android7.0 App30:2018.03.04
4541621,2018-03-09 13:32:12,ttn-mapper,iot-partners,FCC23DFFFE0F508E,,SF12BW125,8.20,-43.00,868.100,51.918487,4.245182,45.5,10.00,,,fused,Android7.0 App30:2018.03.04
4541622,2018-03-09 13:32:12,ttn-mapper,iot-partners,7276FF00390300DA,,SF12BW125,-14.50,-123.00,868.100,51.918487,4.245182,45.5,10.00,,,fused,Android7.0 App30:2018.03.04
4541623,2018-03-09 13:32:12,ttn-mapper,iot-partners,0000024B080E0021,,SF12BW125,-5.80,-119.00,868.100,51.918487,4.245182,45.5,10.00,,,fused,Android7.0 App30:2018.03.04
4541630,2018-03-09 13:32:23,ttn-mapper,iot-partners,7276FF00390300DA,,SF12BW125,-14.20,-121.00,868.100,51.918485,4.245181,45.5,10.00,,,fused,Android7.0 App30:2018.03.04
4541631,2018-03-09 13:32:23,ttn-mapper,iot-partners,FCC23DFFFE0F508E,,SF12BW125,8.20,-47.00,868.100,51.918485,4.245181,45.5,10.00,,,fused,Android7.0 App30:2018.03.04
4541632,2018-03-09 13:32:23,ttn-mapper,iot-partners,0000024B080E0021,,SF12BW125,-8.20,-121.00,868.100,51.918485,4.245181,45.5,10.00,,,fused,Android7.0 App30:2018.03.04
4541633,2018-03-09 13:32:23,ttn-mapper,iot-partners,7276FF00390301F1,,SF12BW125,-5.00,-125.00,868.100,51.918485,4.245181,45.5,10.00,,,fused,Android7.0 App30:2018.03.04
4541645,2018-03-09 13:32:33,ttn-mapper,iot-partners,7276FF00390300DA,,SF12BW125,-14.50,-121.00,868.100,51.918489,4.245180,45.6,10.00,,,fused,Android7.0 App30:2018.03.04
4541646,2018-03-09 13:32:33,ttn-mapper,iot-partners,0000024B080E0021,,SF12BW125,-12.80,-119.00,868.100,51.918489,4.245180,45.6,10.00,,,fused,Android7.0 App30:2018.03.04
4541647,2018-03-09 13:32:33,ttn-mapper,iot-partners,7276FF00390301F1,,SF12BW125,-5.00,-118.00,868.100,51.918489,4.245180,45.6,10.00,,,fused,Android7.0 App30:2018.03.04
4541648,2018-03-09 13:32:33,ttn-mapper,iot-partners,0000024B080309D3,,SF12BW125,-10.20,-111.00,868.100,51.918489,4.245180,45.6,10.00,,,fused,Android7.0 App30:2018.03.04
4541649,2018-03-09 13:32:33,ttn-mapper,iot-partners,FCC23DFFFE0F508E,,SF12BW125,9.50,-43.00,868.100,51.918489,4.245180,45.6,10.00,,,fused,Android7.0 App30:2018.03.04
4541658,2018-03-09 13:32:43,ttn-mapper,iot-partners,7276FF00390300DA,,SF12BW125,-12.00,-119.00,868.500,51.918485,4.245181,45.7,10.00,,,fused,Android7.0 App30:2018.03.04
4541659,2018-03-09 13:32:43,ttn-mapper,iot-partners,0000024B080309D3,,SF12BW125,-14.80,-108.00,868.500,51.918485,4.245181,45.7,10.00,,,fused,Android7.0 App30:2018.03.04
4541660,2018-03-09 13:32:43,ttn-mapper,iot-partners,7276FF00390301F1,,SF12BW125,-7.80,-121.00,868.500,51.918485,4.245181,45.7,10.00,,,fused,Android7.0 App30:2018.03.04
4541661,2018-03-09 13:32:43,ttn-mapper,iot-partners,FCC23DFFFE0F508E,,SF12BW125,8.50,-46.00,868.500,51.918485,4.245181,45.7,10.00,,,fused,Android7.0 App30:2018.03.04
4541669,2018-03-09 13:32:54,ttn-mapper,iot-partners,7276FF00390300DA,,SF12BW125,-14.20,-123.00,868.100,51.918485,4.245181,45.7,10.00,,,fused,Android7.0 App30:2018.03.04
4541670,2018-03-09 13:32:54,ttn-mapper,iot-partners,0000024B080E0021,,SF12BW125,-8.00,-120.00,868.100,51.918485,4.245181,45.7,10.00,,,fused,Android7.0 App30:2018.03.04
4541671,2018-03-09 13:32:54,ttn-mapper,iot-partners,7276FF00390301F1,,SF12BW125,-3.80,-121.00,868.100,51.918485,4.245181,45.7,10.00,,,fused,Android7.0 App30:2018.03.04
4541672,2018-03-09 13:32:54,ttn-mapper,iot-partners,FCC23DFFFE0F508E,,SF12BW125,10.00,-42.00,868.100,51.918485,4.245181,45.7,10.00,,,fused,Android7.0 App30:2018.03.04
4541686,2018-03-09 13:33:04,ttn-mapper,iot-partners,7276FF00390300DA,,SF12BW125,-14.50,-123.00,868.100,51.918440,4.245216,45.8,10.00,,,fused,Android7.0 App30:2018.03.04
4541687,2018-03-09 13:33:04,ttn-mapper,iot-partners,0000024B080E0021,,SF12BW125,-7.50,-120.00,868.100,51.918440,4.245216,45.8,10.00,,,fused,Android7.0 App30:2018.03.04
4541688,2018-03-09 13:33:04,ttn-mapper,iot-partners,0000024B080309D3,,SF12BW125,-9.00,-114.00,868.100,51.918440,4.245216,45.8,10.00,,,fused,Android7.0 App30:2018.03.04
4541689,2018-03-09 13:33:04,ttn-mapper,iot-partners,FCC23DFFFE0F508E,,SF12BW125,8.80,-46.00,868.100,51.918440,4.245216,45.8,10.00,,,fused,Android7.0 App30:2018.03.04
4541690,2018-03-09 13:33:04,ttn-mapper,iot-partners,7276FF00390301F1,,SF12BW125,-4.00,-123.00,868.100,51.918440,4.245216,45.8,10.00,,,fused,Android7.0 App30:2018.03.04
4541695,2018-03-09 13:33:14,ttn-mapper,iot-partners,FCC23DFFFE0F508E,,SF12BW125,11.00,-43.00,868.100,51.918435,4.245220,45.9,10.00,,,fused,Android7.0 App30:2018.03.04
4541696,2018-03-09 13:33:14,ttn-mapper,iot-partners,7276FF00390301F1,,SF12BW125,-3.00,-119.00,868.100,51.918435,4.245220,45.9,10.00,,,fused,Android7.0 App30:2018.03.04
4541697,2018-03-09 13:33:14,ttn-mapper,iot-partners,0000024B080E0021,,SF12BW125,-9.50,-120.00,868.100,51.918435,4.245220,45.9,10.00,,,fused,Android7.0 App30:2018.03.04
4541698,2018-03-09 13:33:14,ttn-mapper,iot-partners,7276FF00390300DA,,SF12BW125,-14.50,-123.00,868.100,51.918435,4.245220,45.9,10.00,,,fused,Android7.0 App30:2018.03.04
4841540,2018-03-20 13:01:04,ttn-mapper,iot-partners,FCC23DFFFE0F508E,,SF12BW125,6.50,-81.00,868.100,51.918590,4.249932,47.7,10.00,,,fused,Android7.0 App30:2018.03.04
4841541,2018-03-20 13:01:04,ttn-mapper,iot-partners,0000024B080309D3,,SF12BW125,-9.00,-110.00,868.100,51.918590,4.249932,47.7,10.00,,,fused,Android7.0 App30:2018.03.04
4841542,2018-03-20 13:01:04,ttn-mapper,iot-partners,0000024B080E0021,,SF12BW125,-14.50,-113.00,868.100,51.918590,4.249932,47.7,10.00,,,fused,Android7.0 App30:2018.03.04
4841543,2018-03-20 13:01:04,ttn-mapper,iot-partners,7276FF00390301F1,,SF12BW125,3.00,-113.00,868.100,51.918590,4.249932,47.7,10.00,,,fused,Android7.0 App30:2018.03.04
4841547,2018-03-20 13:01:15,ttn-mapper,iot-partners,0000024B080E0021,,SF12BW125,-14.20,-121.00,868.100,51.918779,4.249391,47.5,10.00,,,fused,Android7.0 App30:2018.03.04
4841548,2018-03-20 13:01:15,ttn-mapper,iot-partners,7276FF00390301F1,,SF12BW125,2.20,-123.00,868.100,51.918779,4.249391,47.5,10.00,,,fused,Android7.0 App30:2018.03.04
4841549,2018-03-20 13:01:15,ttn-mapper,iot-partners,0000024B080309D3,,SF12BW125,-7.00,-119.00,868.100,51.918779,4.249391,47.5,10.00,,,fused,Android7.0 App30:2018.03.04
4841550,2018-03-20 13:01:15,ttn-mapper,iot-partners,FCC23DFFFE0F508E,,SF12BW125,7.50,-83.00,868.100,51.918779,4.249391,47.5,10.00,,,fused,Android7.0 App30:2018.03.04
4841563,2018-03-20 13:01:45,ttn-mapper,iot-partners,0000024B080309D3,,SF12BW125,-9.20,-112.00,868.100,51.918952,4.246717,48.1,10.00,,,fused,Android7.0 App30:2018.03.04
4841564,2018-03-20 13:01:45,ttn-mapper,iot-partners,FCC23DFFFE0F508E,,SF12BW125,6.00,-64.00,868.100,51.918952,4.246717,48.1,10.00,,,fused,Android7.0 App30:2018.03.04
