['273517', '2016-05-10 19:37:43', '02E00611', '', '0003FFFF1D09CE86', '', 'SF9BW125', '-12.80', '-120.00', '868.300', '52.184312', '5.943905', '8.4', '23.30', '', '', 'gps', ''],1462838400,Mostly Cloudy,partly-cloudy-night,63.12,63.12,48.05,0.58,1011.83,2.39,6.22,
['276339', '2016-05-18 18:02:34', '02E00611', '', '0003FFFF1D09CE86', '', 'SF9BW125', '-10.80', '-120.00', '868.100', '52.184192', '5.943987', '24.2', '16.60', '', '', 'gps', ''],1463529600,Partly Cloudy,partly-cloudy-night,47.34,47.34,40.86,0.78,1012.92,0.81,6.22,
['276340', '2016-05-18 18:05:19', '02E00611', '', '0003FFFF1D09CE86', '', 'SF9BW125', '-11.50', '-120.00', '868.500', '52.184447', '5.943948', '43.9', '6.40', '', '', 'gps', ''],1463529600,Partly Cloudy,partly-cloudy-night,47.34,47.34,40.86,0.78,1012.92,0.81,6.22,
['276341', '2016-05-18 18:09:31', '02E00611', '', '0003FFFF1D09CE86', '', 'SF9BW125', '-9.80', '-120.00', '868.500', '52.184365', '5.943777', '36.3', '5.00', '', '', 'gps', ''],1463529600,Partly Cloudy,partly-cloudy-night,47.34,47.34,40.86,0.78,1012.92,0.81,6.22,
['276342', '2016-05-18 18:09:51', '02E00611', '', '0003FFFF1D09CE86', '', 'SF9BW125', '-13.00', '-118.00', '868.500', '52.184250', '5.943723', '27.1', '12.90', '', '', 'gps', ''],1463529600,Partly Cloudy,partly-cloudy-night,47.34,47.34,40.86,0.78,1012.92,0.81,6.22,
['276343', '2016-05-18 18:10:01', '02E00611', '', '0003FFFF1D09CE86', '', 'SF9BW125', '-12.50', '-120.00', '868.100', '52.184260', '5.943743', '22.6', '4.90', '', '', 'gps', ''],1463529600,Partly Cloudy,partly-cloudy-night,47.34,47.34,40.86,0.78,1012.92,0.81,6.22,
['276344', '2016-05-18 18:10:11', '02E00611', '', '0003FFFF1D09CE86', '', 'SF9BW125', '-9.80', '-121.00', '868.100', '52.184262', '5.943752', '25.7', '4.90', '', '', 'gps', ''],1463529600,Partly Cloudy,partly-cloudy-night,47.34,47.34,40.86,0.78,1012.92,0.81,6.22,
['276345', '2016-05-18 18:10:21', '02E00611', '', '0003FFFF1D09CE86', '', 'SF9BW125', '-12.50', '-119.00', '868.500', '52.184270', '5.943793', '24.6', '4.20', '', '', 'gps', ''],1463529600,Partly Cloudy,partly-cloudy-night,47.34,47.34,40.86,0.78,1012.92,0.81,6.22,
['276346', '2016-05-18 18:10:31', '02E00611', '', '0003FFFF1D09CE86', '', 'SF9BW125', '-11.00', '-120.00', '868.100', '52.184270', '5.943793', '24.6', '15.90', '', '', 'gps', ''],1463529600,Partly Cloudy,partly-cloudy-night,47.34,47.34,40.86,0.78,1012.92,0.81,6.22,
['276347', '2016-05-18 18:10:51', '02E00611', '', '0003FFFF1D09CE86', '', 'SF9BW125', '-13.20', '-121.00', '868.100', '52.184360', '5.943862', '26.0', '8.10', '', '', 'gps', ''],1463529600,Partly Cloudy,partly-cloudy-night,47.34,47.34,40.86,0.78,1012.92,0.81,6.22,
['276348', '2016-05-18 18:11:01', '02E00611', '', '0003FFFF1D09CE86', '', 'SF9BW125', '-10.80', '-119.00', '868.100', '52.184383', '5.943882', '25.2', '4.50', '', '', 'gps', ''],1463529600,Partly Cloudy,partly-cloudy-night,47.34,47.34,40.86,0.78,1012.92,0.81,6.22,
