['5420860', '2018-04-06 09:58:02', 'gpsnode1', '123442223112333', 'maribor-center-gateway', 'LORA', 'SF8BW125', '2.25', '-114.00', '868.300', '46.554200', '15.636900', '291.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5420877', '2018-04-06 09:59:01', 'gpsnode1', '123442223112333', 'maribor-center-gateway', 'LORA', 'SF8BW125', '2.25', '-115.00', '868.500', '46.554200', '15.636800', '281.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5420879', '2018-04-06 09:59:01', 'gpsnode1', '123442223112333', 'irnas-3g', 'LORA', 'SF8BW125', '7.50', '-87.00', '868.500', '46.554200', '15.636800', '281.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5420904', '2018-04-06 10:00:01', 'gpsnode1', '123442223112333', 'irnas-3g', 'LORA', 'SF8BW125', '10.50', '-90.00', '868.100', '46.554200', '15.636800', '279.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5420907', '2018-04-06 10:00:01', 'gpsnode1', '123442223112333', 'maribor-center-gateway', 'LORA', 'SF8BW125', '3.50', '-117.00', '868.100', '46.554200', '15.636800', '279.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5420915', '2018-04-06 10:01:00', 'gpsnode1', '123442223112333', 'maribor-pohorje-gateway', 'LORA', 'SF8BW125', '-6.00', '-112.00', '868.500', '46.554200', '15.636800', '279.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5420916', '2018-04-06 10:01:00', 'gpsnode1', '123442223112333', 'irnas-3g', 'LORA', 'SF8BW125', '7.75', '-87.00', '868.500', '46.554200', '15.636800', '279.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5420917', '2018-04-06 10:01:00', 'gpsnode1', '123442223112333', 'maribor-center-gateway', 'LORA', 'SF8BW125', '1.50', '-115.00', '868.500', '46.554200', '15.636800', '279.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5420926', '2018-04-06 10:02:00', 'gpsnode1', '123442223112333', 'maribor-center-gateway', 'LORA', 'SF8BW125', '2.50', '-115.00', '868.300', '46.554200', '15.636900', '286.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5420927', '2018-04-06 10:02:00', 'gpsnode1', '123442223112333', 'irnas-3g', 'LORA', 'SF8BW125', '9.00', '-89.00', '868.300', '46.554200', '15.636900', '286.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5420942', '2018-04-06 10:02:59', 'gpsnode1', '123442223112333', 'irnas-3g', 'LORA', 'SF8BW125', '8.75', '-89.00', '868.300', '46.554200', '15.636900', '285.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5420943', '2018-04-06 10:02:59', 'gpsnode1', '123442223112333', 'maribor-center-gateway', 'LORA', 'SF8BW125', '3.00', '-115.00', '868.300', '46.554200', '15.636900', '285.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5420959', '2018-04-06 10:04:00', 'gpsnode1', '123442223112333', 'irnas-3g', 'LORA', 'SF8BW125', '7.25', '-89.00', '868.500', '46.554200', '15.636800', '280.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5420960', '2018-04-06 10:04:00', 'gpsnode1', '123442223112333', 'maribor-center-gateway', 'LORA', 'SF8BW125', '2.25', '-114.00', '868.500', '46.554200', '15.636800', '280.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5420985', '2018-04-06 10:04:59', 'gpsnode1', '123442223112333', 'irnas-3g', 'LORA', 'SF8BW125', '7.25', '-90.00', '868.500', '46.554200', '15.636800', '273.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5420986', '2018-04-06 10:04:59', 'gpsnode1', '123442223112333', 'maribor-center-gateway', 'LORA', 'SF8BW125', '2.00', '-113.00', '868.500', '46.554200', '15.636800', '273.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5420999', '2018-04-06 10:06:00', 'gpsnode1', '123442223112333', 'maribor-pohorje-gateway', 'LORA', 'SF8BW125', '-7.25', '-113.00', '868.500', '46.554200', '15.636800', '270.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5421000', '2018-04-06 10:06:00', 'gpsnode1', '123442223112333', 'irnas-3g', 'LORA', 'SF8BW125', '6.75', '-89.00', '868.500', '46.554200', '15.636800', '270.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5421001', '2018-04-06 10:06:00', 'gpsnode1', '123442223112333', 'maribor-center-gateway', 'LORA', 'SF8BW125', '2.25', '-115.00', '868.500', '46.554200', '15.636800', '270.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5421014', '2018-04-06 10:07:01', 'gpsnode1', '123442223112333', 'irnas-3g', 'LORA', 'SF8BW125', '6.25', '-91.00', '868.500', '46.554200', '15.636800', '269.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5421016', '2018-04-06 10:07:01', 'gpsnode1', '123442223112333', 'maribor-center-gateway', 'LORA', 'SF8BW125', '5.00', '-112.00', '868.500', '46.554200', '15.636800', '269.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
