['1047400', '2017-02-14 22:28:15', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-1.20', '-114.00', '868.500', '52.022590', '4.692522', '0.0', '19.99', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047401', '2017-02-14 22:28:15', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-1.20', '-114.00', '868.500', '52.022590', '4.692522', '0.0', '19.99', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047402', '2017-02-14 22:28:19', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '4.20', '-115.00', '868.100', '52.022590', '4.692522', '0.0', '19.94', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047403', '2017-02-14 22:28:19', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '4.20', '-115.00', '868.100', '52.022590', '4.692522', '0.0', '19.94', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047404', '2017-02-14 22:28:32', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '3.50', '-114.00', '868.300', '52.022590', '4.692522', '0.0', '19.91', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047405', '2017-02-14 22:28:32', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '3.50', '-114.00', '868.300', '52.022590', '4.692522', '0.0', '19.91', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047406', '2017-02-14 22:28:35', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '3.80', '-115.00', '868.100', '52.022590', '4.692522', '0.0', '19.91', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047407', '2017-02-14 22:28:35', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '3.80', '-115.00', '868.100', '52.022590', '4.692522', '0.0', '19.91', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047413', '2017-02-14 22:28:57', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-2.20', '-113.00', '868.500', '52.022590', '4.692522', '0.0', '19.97', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047414', '2017-02-14 22:28:57', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-2.20', '-113.00', '868.500', '52.022590', '4.692522', '0.0', '19.97', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047420', '2017-02-14 22:29:48', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '4.80', '-115.00', '868.100', '52.022590', '4.692522', '0.0', '19.01', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047421', '2017-02-14 22:29:56', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-1.00', '-113.00', '868.500', '52.022590', '4.692522', '0.0', '19.09', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047422', '2017-02-14 22:29:56', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-1.00', '-113.00', '868.500', '52.022590', '4.692522', '0.0', '19.09', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047423', '2017-02-14 22:30:01', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '3.80', '-114.00', '868.100', '52.022590', '4.692522', '0.0', '19.92', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047424', '2017-02-14 22:30:01', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '3.80', '-114.00', '868.100', '52.022590', '4.692522', '0.0', '19.92', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047425', '2017-02-14 22:30:03', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '3.80', '-114.00', '868.300', '52.022590', '4.692522', '0.0', '19.92', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047426', '2017-02-14 22:30:03', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '3.80', '-114.00', '868.300', '52.022590', '4.692522', '0.0', '19.92', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047427', '2017-02-14 22:30:10', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-1.50', '-112.00', '868.500', '52.022590', '4.692522', '0.0', '19.93', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047428', '2017-02-14 22:30:10', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-1.50', '-112.00', '868.500', '52.022590', '4.692522', '0.0', '19.93', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047434', '2017-02-14 22:30:45', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-4.00', '-109.00', '868.300', '52.022590', '4.692522', '0.0', '19.99', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047435', '2017-02-14 22:30:45', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-4.00', '-109.00', '868.300', '52.022590', '4.692522', '0.0', '19.99', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047436', '2017-02-14 22:30:47', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '3.80', '-113.00', '868.100', '52.022590', '4.692522', '0.0', '19.99', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047437', '2017-02-14 22:30:47', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '3.80', '-113.00', '868.100', '52.022590', '4.692522', '0.0', '19.99', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047438', '2017-02-14 22:30:54', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-0.80', '-112.00', '868.500', '52.022590', '4.692522', '0.0', '19.99', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047439', '2017-02-14 22:30:54', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-0.80', '-112.00', '868.500', '52.022590', '4.692522', '0.0', '19.99', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047440', '2017-02-14 22:31:29', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-4.50', '-108.00', '868.300', '52.022590', '4.692522', '0.0', '19.13', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047441', '2017-02-14 22:31:29', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-4.50', '-108.00', '868.300', '52.022590', '4.692522', '0.0', '19.13', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047442', '2017-02-14 22:31:31', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '4.20', '-115.00', '868.100', '52.022590', '4.692522', '0.0', '19.13', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047443', '2017-02-14 22:31:31', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '4.20', '-115.00', '868.100', '52.022590', '4.692522', '0.0', '19.13', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047448', '2017-02-14 22:31:45', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '3.00', '-115.00', '868.100', '52.022590', '4.692522', '0.0', '19.00', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047449', '2017-02-14 22:31:45', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '3.00', '-115.00', '868.100', '52.022590', '4.692522', '0.0', '19.00', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047451', '2017-02-14 22:32:00', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '3.80', '-115.00', '868.100', '52.022590', '4.692522', '0.0', '19.92', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047452', '2017-02-14 22:32:00', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '3.80', '-115.00', '868.100', '52.022590', '4.692522', '0.0', '19.92', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047455', '2017-02-14 22:32:06', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-0.50', '-105.00', '868.500', '52.022590', '4.692522', '0.0', '19.10', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047456', '2017-02-14 22:32:06', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-0.50', '-105.00', '868.500', '52.022590', '4.692522', '0.0', '19.10', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047457', '2017-02-14 22:32:13', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '4.00', '-114.00', '868.100', '52.022590', '4.692522', '0.0', '19.10', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047458', '2017-02-14 22:32:13', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '4.00', '-114.00', '868.100', '52.022590', '4.692522', '0.0', '19.10', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
