['3482574', '2018-01-05 09:15:49', 'ttn-mapper-ios', 'loratestbluedynamics1', 'blued018p', '', 'SF8BW125', '8.00', '-73.00', '867.500', '14.584261', '121.063902', '45.3', '32.00', '', '', 'ios', 'iOS 11.2.1 - org.ttnmapper.ios.TTNMapper:23'],1515110400,Humid and Partly Cloudy,partly-cloudy-day,79.87,84.3,74.11,0.83,1011.78,3.47,6.22,
['3800077', '2018-01-31 09:49:13', 'pwxmapper02', 'lora-tracker', 'blued018p', '', 'SF8BW125', '5.75', '-78.00', '868.300', '14.584200', '121.063700', '183.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1517356800,Mostly Cloudy,partly-cloudy-day,77.94,79.16,71,0.79,1013.17,2.13,6.22,
['3800092', '2018-01-31 09:50:15', 'pwxmapper02', 'lora-tracker', 'blued018p', '', 'SF8BW125', '5.75', '-81.00', '868.500', '14.584100', '121.063600', '182.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1517356800,Mostly Cloudy,partly-cloudy-day,77.94,79.16,71,0.79,1013.17,2.13,6.22,
['3800096', '2018-01-31 09:52:14', 'pwxmapper02', 'lora-tracker', 'blued018p', '', 'SF8BW125', '2.25', '-81.00', '867.700', '14.584000', '121.063600', '177.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1517356800,Mostly Cloudy,partly-cloudy-day,77.94,79.16,71,0.79,1013.17,2.13,6.22,
['4989883', '2018-03-23 13:54:44', 'pwxmapper03', 'lora-tracker', 'packetcell02', '', 'SF8BW125', '12.25', '-51.00', '867.700', '14.584000', '121.063500', '162.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1521763200,Mostly Cloudy,partly-cloudy-day,78.32,79.1,67.35,0.69,1012.36,3.45,6.22,
['4989884', '2018-03-23 13:54:44', 'pwxmapper03', 'lora-tracker', 'packetcell03', '', 'SF8BW125', '12.25', '-66.00', '867.700', '14.584000', '121.063500', '162.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1521763200,Mostly Cloudy,partly-cloudy-day,78.32,79.1,67.35,0.69,1012.36,3.45,6.22,
['4989885', '2018-03-23 13:54:44', 'pwxmapper03', 'lora-tracker', 'blued018p', '', 'SF8BW125', '9.00', '-69.00', '867.700', '14.584000', '121.063500', '162.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1521763200,Mostly Cloudy,partly-cloudy-day,78.32,79.1,67.35,0.69,1012.36,3.45,6.22,
['4989908', '2018-03-23 13:55:45', 'pwxmapper03', 'lora-tracker', 'packetcell02', '', 'SF8BW125', '6.00', '-53.00', '867.900', '14.583900', '121.063400', '159.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1521763200,Mostly Cloudy,partly-cloudy-day,78.32,79.1,67.35,0.69,1012.36,3.45,6.22,
['4989909', '2018-03-23 13:55:45', 'pwxmapper03', 'lora-tracker', 'packetcell03', '', 'SF8BW125', '-5.25', '-69.00', '867.900', '14.583900', '121.063400', '159.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1521763200,Mostly Cloudy,partly-cloudy-day,78.32,79.1,67.35,0.69,1012.36,3.45,6.22,
['4989929', '2018-03-23 13:56:45', 'pwxmapper03', 'lora-tracker', 'blued018p', '', 'SF8BW125', '6.50', '-72.00', '868.500', '14.583900', '121.063400', '158.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1521763200,Mostly Cloudy,partly-cloudy-day,78.32,79.1,67.35,0.69,1012.36,3.45,6.22,
['4989950', '2018-03-23 13:57:46', 'pwxmapper03', 'lora-tracker', 'blued018p', '', 'SF8BW125', '4.75', '-72.00', '867.300', '14.584000', '121.063400', '160.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1521763200,Mostly Cloudy,partly-cloudy-day,78.32,79.1,67.35,0.69,1012.36,3.45,6.22,
['4989951', '2018-03-23 13:57:46', 'pwxmapper03', 'lora-tracker', 'packetcell02', '', 'SF8BW125', '11.75', '-51.00', '867.300', '14.584000', '121.063400', '160.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1521763200,Mostly Cloudy,partly-cloudy-day,78.32,79.1,67.35,0.69,1012.36,3.45,6.22,
['4989952', '2018-03-23 13:57:46', 'pwxmapper03', 'lora-tracker', 'packetcell03', '', 'SF8BW125', '12.50', '-65.00', '867.300', '14.584000', '121.063400', '160.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1521763200,Mostly Cloudy,partly-cloudy-day,78.32,79.1,67.35,0.69,1012.36,3.45,6.22,
['4990016', '2018-03-23 14:01:46', 'pwxmapper03', 'lora-tracker', 'packetcell02', '', 'SF8BW125', '11.00', '-50.00', '867.100', '14.583900', '121.063500', '163.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1521763200,Mostly Cloudy,partly-cloudy-day,78.32,79.1,67.35,0.69,1012.36,3.45,6.22,
['4990017', '2018-03-23 14:01:46', 'pwxmapper03', 'lora-tracker', 'packetcell03', '', 'SF8BW125', '11.75', '-65.00', '867.100', '14.583900', '121.063500', '163.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1521763200,Mostly Cloudy,partly-cloudy-day,78.32,79.1,67.35,0.69,1012.36,3.45,6.22,
['4990018', '2018-03-23 14:01:46', 'pwxmapper03', 'lora-tracker', 'blued018p', '', 'SF8BW125', '6.00', '-75.00', '867.100', '14.583900', '121.063500', '163.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1521763200,Mostly Cloudy,partly-cloudy-day,78.32,79.1,67.35,0.69,1012.36,3.45,6.22,
['4990757', '2018-03-23 14:46:38', 'pwxmapper03', 'lora-tracker', 'packetcell02', '', 'SF8BW125', '10.75', '-61.00', '867.100', '14.584000', '121.063300', '215.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1521763200,Mostly Cloudy,partly-cloudy-day,78.32,79.1,67.35,0.69,1012.36,3.45,6.22,
['4990758', '2018-03-23 14:46:38', 'pwxmapper03', 'lora-tracker', 'blued018p', '', 'SF8BW125', '10.00', '-67.00', '867.100', '14.584000', '121.063300', '215.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1521763200,Mostly Cloudy,partly-cloudy-day,78.32,79.1,67.35,0.69,1012.36,3.45,6.22,
['4990759', '2018-03-23 14:46:38', 'pwxmapper03', 'lora-tracker', 'packetcell03', '', 'SF8BW125', '10.75', '-65.00', '867.100', '14.584000', '121.063300', '215.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1521763200,Mostly Cloudy,partly-cloudy-day,78.32,79.1,67.35,0.69,1012.36,3.45,6.22,
